Franchise_id,Season,Lg,Team_id,W,L,WL_percentage,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs
BOS,2005,NBA,BOS,33,49,.402,3,-1.59,92.2,1.7,105.2,-1.0,106.9,0.7,,
BOS,2004,NBA,BOS,45,37,.549,1,0.35,93.3,2.4,107.5,1.4,106.6,0.5,Lost E. Conf. 1st Rnd.,
BOS,2003,NBA,BOS,36,46,.439,4,-1.99,93.2,3.1,102.1,-0.8,103.7,0.8,Lost E. Conf. 1st Rnd.,
BOS,2002,NBA,BOS,44,38,.537,3,-0.75,90.9,-0.1,101.2,-2.4,101.6,-2.0,Lost E. Conf. Semis,
BOS,2001,NBA,BOS,49,33,.598,2,1.75,92.5,1.8,103.4,-1.1,101.0,-3.5,Lost E. Conf. Finals,
BOS,2000,NBA,BOS,36,46,.439,5,-2.40,92.6,1.3,101.4,-1.6,103.7,0.7,,
BOS,1999,NBA,BOS,35,47,.427,5,-1.00,94.6,1.5,104.8,0.7,105.6,1.5,,
BOS,1998,NBA,BOS,19,31,.380,5,-1.75,91.5,2.6,100.4,-1.8,102.4,0.2,,
BOS,1997,NBA,BOS,36,46,.439,6,-1.96,93.3,3.0,102.6,-2.4,105.4,0.4,,
BOS,1996,NBA,BOS,15,67,.183,7,-6.62,95.8,5.7,103.9,-2.8,111.4,4.7,,
BOS,1995,NBA,BOS,33,49,.402,5,-3.37,96.2,4.4,106.4,-1.2,109.9,2.3,,
BOS,1994,NBA,BOS,35,47,.427,3,-1.92,94.0,1.1,108.6,0.3,110.6,2.3,Lost E. Conf. 1st Rnd.,
BOS,1993,NBA,BOS,32,50,.390,5,-4.28,95.6,0.5,104.2,-2.1,108.7,2.4,,
BOS,1992,NBA,BOS,48,34,.585,2,0.93,94.9,-1.9,108.7,0.7,107.8,-0.2,Lost E. Conf. 1st Rnd.,
BOS,1991,NBA,BOS,51,31,.622,1,3.41,95.8,-0.8,110.8,2.6,107.0,-1.2,Lost E. Conf. Semis,
BOS,1990,NBA,BOS,56,26,.683,1,5.22,98.5,0.7,112.6,4.7,106.7,-1.2,Lost E. Conf. Semis,
BOS,1989,NBA,BOS,52,30,.634,2,3.23,98.2,-0.1,112.0,3.9,107.9,-0.2,Lost E. Conf. 1st Rnd.,
BOS,1988,NBA,BOS,42,40,.512,3,1.26,98.1,-2.5,110.8,3.0,109.6,1.8,Lost E. Conf. 1st Rnd.,
BOS,1987,NBA,BOS,57,25,.695,1,6.15,97.9,-1.7,115.4,7.4,109.4,1.4,Lost E. Conf. Finals,
BOS,1986,NBA,BOS,59,23,.720,1,6.57,98.6,-2.2,113.5,5.2,106.8,-1.5,Lost Finals,
BOS,1985,NBA,BOS,67,15,.817,1,9.06,101.2,-0.9,111.8,4.6,102.6,-4.6,Won Finals,
BOS,1984,NBA,BOS,63,19,.768,1,6.47,101.6,-0.5,112.8,4.9,106.3,-1.6,Lost Finals,
BOS,1983,NBA,BOS,62,20,.756,1,6.42,99.7,-1.7,110.9,3.3,104.4,-3.2,Won Finals,
BOS,1982,NBA,BOS,56,26,.683,2,5.34,104.0,0.9,106.9,2.2,101.8,-2.9,Lost E. Conf. Semis,
BOS,1981,NBA,BOS,63,19,.768,1,6.35,101.5,0.6,109.8,2.9,103.5,-3.4,Lost E. Conf. Finals,
BOS,1980,NBA,BOS,62,20,.756,1,6.05,100.8,-1.0,108.4,2.9,102.6,-2.9,Won Finals,
BOS,1979,NBA,BOS,61,21,.744,1,7.37,102.6,-0.5,109.4,4.1,101.9,-3.4,Lost E. Conf. Finals,
BOS,1978,NBA,BOS,29,53,.354,5,-4.78,106.5,0.7,101.6,-2.2,106.4,2.6,,
BOS,1977,NBA,BOS,32,50,.390,3,-1.86,105.9,-0.8,99.1,-1.8,100.9,0.0,,
BOS,1976,NBA,BOS,44,38,.537,2,-1.90,107.5,1.0,96.5,-3.0,98.3,-1.2,Lost E. Conf. Semis,
BOS,1975,NBA,BOS,54,28,.659,1,2.25,106.9,1.4,98.9,0.6,96.7,-1.6,Won Finals,
BOS,1974,NBA,BOS,60,22,.732,1,5.40,106.1,1.6,100.0,2.3,94.7,-3.0,Lost E. Conf. Finals,
BOS,1973,NBA,BOS,56,26,.683,1,3.42,110.0,2.2,98.6,0.9,95.1,-2.6,Won Finals,
BOS,1972,NBA,BOS,68,14,.829,1,7.35,114.5,3.8,98.1,1.3,91.0,-5.8,Lost E. Conf. Finals,
BOS,1971,NBA,BOS,56,26,.683,1,4.38,116.1,4.1,99.3,1.4,95.2,-2.7,Lost E. Conf. Finals,
BOS,1970,NBA,BOS,44,38,.537,3,2.30,120.2,5.1,97.0,-0.2,95.3,-1.9,,
BOS,1969,NBA,BOS,34,48,.415,6,-1.60,117.5,0.4,97.3,-1.7,98.9,-0.1,,
BOS,1968,NBA,BOS,48,34,.585,4,5.35,117.5,0.6,93.8,-1.7,89.1,-6.4,Won Finals,
BOS,1967,NBA,BOS,54,28,.659,2,3.87,121.1,1.3,95.7,-1.1,92.4,-4.4,Won Finals,
BOS,1966,NBA,BOS,60,21,.741,2,7.24,121.2,-0.4,97.5,1.4,91.0,-5.1,Lost E. Div. Finals,
BOS,1965,NBA,BOS,54,26,.675,2,4.34,122.0,0.6,92.3,-2.6,88.3,-6.6,Won Finals,
BOS,1964,NBA,BOS,62,18,.775,1,7.46,123.6,6.3,90.9,-2.7,84.2,-9.4,Won Finals,
BOS,1963,NBA,BOS,59,21,.738,1,6.93,125.0,11.8,90.1,-4.5,83.8,-10.8,Won Finals,
BOS,1962,NBA,BOS,58,22,.725,1,6.38,127.3,12.3,93.0,-2.9,87.4,-8.5,Won Finals,
BOS,1961,NBA,BOS,60,20,.750,1,8.25,130.8,9.5,92.1,-1.5,85.1,-8.5,Won Finals,
BOS,1960,NBA,BOS,57,22,.722,1,4.94,134.4,10.9,88.7,-3.4,84.5,-7.6,Won Finals,
BOS,1959,NBA,BOS,59,16,.787,1,7.62,136.3,14.0,91.0,-0.1,84.9,-6.2,Won Finals,
BOS,1958,NBA,BOS,52,20,.722,1,5.84,128.7,16.7,89.5,-0.7,84.5,-5.7,Won Finals,
BOS,1957,NBA,BOS,49,23,.681,1,5.02,124.8,7.8,88.0,-0.8,83.6,-5.2,Lost Finals,
BOS,1956,NBA,BOS,44,28,.611,1,4.78,118.0,13.1,88.5,-0.4,84.0,-4.9,Won Finals,
BOS,1955,NBA,BOS,39,33,.542,2,0.72,114.5,11.7,92.2,1.9,91.7,1.4,Lost E. Div. Semis,
BOS,1954,NBA,BOS,36,36,.500,3,-0.03,108.6,10.5,93.0,3.2,93.0,3.2,Lost E. Div. Finals,
BOS,1953,NBA,BOS,42,30,.583,3,1.97,93.0,9.4,92.5,5.0,90.0,2.5,Lost E. Div. Finals,
BOS,1952,NBA,BOS,46,25,.648,3,1.94,94.7,14.2,91.7,3.7,89.3,1.6,Lost E. Div. Finals,
BOS,1951,NBA,BOS,39,27,.591,2,3.60,100.0,14.2,90.4,3.5,86.4,-0.5,Lost E. Div. Semis,
BOS,1950,NBA,BOS,39,30,.565,2,-0.41,95.9,10.4,87.3,2.2,87.6,2.5,Lost E. Div. Semis,
BOS,1949,NBA,BOS,22,46,.324,6,-1.73,,,,,,,,
BOS,1948,BAA,BOS,25,35,.417,5,-2.76,,,,,,,,
BOS,1947,BAA,BOS,20,28,.417,3,-3.76,,,,,,,Lost Quarterfinals,
BOS,1946,BAA,BOS,22,38,.367,5,-4.45,,,,,,,,
NJN,2014,NBA,BRK,21,28,.429,2,-3.61,92.0,-1.8,103.0,-2.8,106.5,0.7,,
NJN,2013,NBA,BRK,44,38,.537,2,-1.58,91.4,-2.5,106.7,0.0,107.7,1.0,Lost E. Conf. Semis,
NJN,2012,NBA,BRK,49,33,.598,2,1.25,88.8,-3.2,108.2,2.3,106.2,0.3,Lost E. Conf. 1st Rnd.,
NJN,2011,NBA,NJN,22,44,.333,5,-6.37,90.1,-1.2,102.9,-1.7,109.6,5.0,,
NJN,2010,NBA,NJN,24,58,.293,4,-6.28,89.9,-2.2,103.1,-4.2,109.9,2.6,,
NJN,2009,NBA,NJN,12,70,.146,5,-8.93,91.4,-1.3,100.6,-7.0,110.5,2.9,,
NJN,2008,NBA,NJN,34,48,.415,3,-2.31,89.9,-1.8,108.3,0.0,111.0,2.7,,
NJN,2007,NBA,NJN,34,48,.415,4,-5.15,91.5,-0.9,104.0,-3.5,109.4,1.9,,
NJN,2006,NBA,NJN,41,41,.500,2,-1.00,91.4,-0.5,105.7,-0.8,106.6,0.1,Lost E. Conf. Semis,
NJN,2005,NBA,NJN,49,33,.598,1,1.11,89.8,-0.7,103.9,-2.3,102.4,-3.8,Lost E. Conf. Semis,
NJN,2004,NBA,NJN,42,40,.512,3,-1.82,89.1,-1.8,101.4,-4.7,103.1,-3.0,Lost E. Conf. 1st Rnd.,
NJN,2003,NBA,NJN,47,35,.573,1,1.88,89.4,-0.7,100.8,-2.1,98.0,-4.9,Lost E. Conf. Semis,
NJN,2002,NBA,NJN,49,33,.598,1,4.42,91.6,0.6,103.8,0.2,98.1,-5.5,Lost Finals,
NJN,2001,NBA,NJN,52,30,.634,1,3.67,91.8,1.1,104.0,-0.5,99.5,-5.0,Lost Finals,
NJN,2000,NBA,NJN,26,56,.317,6,-5.30,91.8,0.5,100.0,-3.0,105.5,2.5,,
NJN,1999,NBA,NJN,31,51,.378,6,-1.18,92.5,-0.6,105.1,1.0,106.3,2.2,,
NJN,1998,NBA,NJN,16,34,.320,7,-3.20,91.5,2.6,99.5,-2.7,103.6,1.4,,
NJN,1997,NBA,NJN,43,39,.524,3,1.88,91.0,0.7,108.3,3.3,106.6,1.6,Lost E. Conf. 1st Rnd.,
NJN,1996,NBA,NJN,26,56,.317,5,-3.89,92.4,2.3,104.7,-2.0,109.7,3.0,,
NJN,1995,NBA,NJN,30,52,.366,6,-4.14,90.9,-0.9,101.9,-5.7,106.5,-1.1,,
NJN,1994,NBA,NJN,30,52,.366,5,-3.28,92.3,-0.6,105.2,-3.1,108.6,0.3,,
NJN,1993,NBA,NJN,45,37,.549,3,2.11,95.5,0.4,107.2,0.9,104.9,-1.4,Lost E. Conf. 1st Rnd.,
NJN,1992,NBA,NJN,43,39,.524,3,1.20,96.0,-0.8,106.5,-1.5,105.2,-2.8,Lost E. Conf. 1st Rnd.,
NJN,1991,NBA,NJN,40,42,.488,3,-1.54,98.0,1.4,107.0,-1.2,108.7,0.5,Lost E. Conf. 1st Rnd.,
NJN,1990,NBA,NJN,26,56,.317,5,-4.53,99.3,1.5,102.9,-5.0,107.4,-0.5,,
NJN,1989,NBA,NJN,17,65,.207,6,-7.82,99.3,1.0,100.7,-7.4,108.6,0.5,,
NJN,1988,NBA,NJN,26,56,.317,5,-5.69,100.1,-0.5,103.0,-4.8,109.3,1.5,,
NJN,1987,NBA,NJN,19,63,.232,5,-6.98,98.6,-1.0,101.4,-6.6,109.6,1.6,,
NJN,1986,NBA,NJN,24,58,.293,4,-4.42,101.8,1.0,105.6,-2.7,110.5,2.2,,
NJN,1985,NBA,NJN,39,43,.476,4,-1.39,103.3,1.2,105.0,-2.2,106.9,-0.3,Lost E. Conf. 1st Rnd.,
NJN,1984,NBA,NJN,42,40,.512,3,0.64,101.0,-1.1,107.9,0.0,107.7,-0.2,Lost E. Conf. 1st Rnd.,
NJN,1983,NBA,NJN,45,37,.549,4,1.27,103.0,1.6,106.1,-1.5,105.0,-2.6,Lost E. Conf. Semis,
NJN,1982,NBA,NJN,49,33,.598,3,2.77,104.0,0.9,101.6,-3.1,98.9,-5.8,Lost E. Conf. 1st Rnd.,
NJN,1981,NBA,NJN,44,38,.537,3,0.87,103.1,2.2,103.0,-3.9,102.3,-4.6,Lost E. Conf. 1st Rnd.,
NJN,1980,NBA,NJN,24,58,.293,5,-5.15,105.2,3.4,101.0,-4.5,106.7,1.2,,
NJN,1979,NBA,NJN,34,48,.415,5,-0.98,106.1,3.0,101.5,-3.8,102.5,-2.8,,
NJN,1978,NBA,NJN,37,45,.451,3,-4.00,109.5,3.7,98.0,-5.8,101.8,-2.0,Lost E. Conf. 1st Rnd.,
NJN,1977,NBA,NJN,24,58,.293,5,-5.61,110.9,4.2,95.0,-5.9,100.2,-0.7,,
NJN,1976,NBA,NYN,22,60,.268,5,-6.54,103.7,-2.8,92.2,-7.3,98.7,-0.8,,
NJN,1975,ABA,NYA,55,29,.655,2,2.56,105.9,-1.0,104.4,0.3,101.7,-2.4,Won Finals,
NJN,1974,ABA,NYA,58,26,.690,2,6.58,103.4,0.3,106.3,1.6,98.9,-5.8,Lost E. Div. Semis,
