PlayerID,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
wwillial02,2001,27,TOR,NBA,PG,82,82,35.7,4.9,11.8,.415,0.8,2.4,.321,4.2,9.5,.438,1.3,1.7,.736,0.7,2.7,3.4,5.7,1.6,0.3,1.8,2.3,11.8
wwillial02,2002,28,TOR,NBA,PG,78,78,33.8,5.1,11.6,.438,0.6,1.9,.329,4.5,9.7,.458,2.4,3.1,.782,0.7,2.4,3.1,5.3,1.4,0.3,1.6,2.2,13.2
wwillial02,2003,29,TOR,NBA,SG,56,54,30.9,3.6,8.9,.405,0.5,1.6,.292,3.1,7.3,.430,1.2,1.5,.776,0.3,2.4,2.7,4.0,1.0,0.2,1.4,2.0,8.8
wwillial02,2005,31,TOR,NBA,PG,1,0,10.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,1.0,2.0,.500,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
wwillial02,2006,32,LAC,NBA,PG,2,0,5.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,1.0,2.0,.500,0.5,0.0,0.5,1.5,1.0,0.0,1.5,0.0,1.0
wwilliar01,1967,28,SDR,NBA,PG,79,,22.0,3.4,9.1,.369,,,,3.4,9.1,.369,1.4,2.1,.685,,,3.6,4.9,,,,2.6,8.1
wwilliar01,1968,29,SDR,NBA,PG,79,,25.2,2.9,7.5,.383,,,,2.9,7.5,.383,1.3,1.9,.705,,,4.6,6.6,,,,3.0,7.1
wwilliar01,1969,30,SDR,NBA,PG,80,,19.3,2.4,5.8,.407,,,,2.4,5.8,.407,1.1,1.5,.746,,,3.7,6.3,,,,2.1,5.8
wwilliar01,1970,31,BOS,NBA,PG,74,,15.4,2.0,4.5,.455,,,,2.0,4.5,.455,0.8,1.1,.723,,,2.8,3.1,,,,2.5,4.9
wwilliar01,1971,32,BOS,NBA,PG,81,,16.4,2.0,4.2,.475,,,,2.0,4.2,.475,1.1,1.5,.756,,,3.2,4.0,,,,2.5,5.1
wwilliar01,1972,33,BOS,NBA,PG,81,,12.0,1.4,3.2,.421,,,,1.4,3.2,.421,0.5,0.7,.768,,,2.2,2.9,,,,1.7,3.2
wwilliar01,1973,34,BOS,NBA,PG,67,,9.2,1.1,2.5,.435,,,,1.1,2.5,.435,0.4,0.5,.844,0.3,1.4,1.7,2.4,0.7,0.0,,1.5,2.6
wwilliar01,1974,35,SDA,ABA,PG,7,,12.7,1.1,1.7,.667,0.0,0.0,,1.1,1.7,.667,0.0,0.0,,0.4,1.3,1.7,2.9,1.0,0.0,1.4,2.1,2.3
wwillibe01,1969,24,SDR,NBA,SG,72,,17.1,3.5,8.9,.392,,,,3.5,8.9,.392,1.3,1.7,.787,,,2.2,2.3,,,,1.7,8.3
wwillibe01,1970,25,SDR,NBA,SG,56,,12.6,2.0,6.0,.331,,,,2.0,6.0,.331,1.2,1.4,.840,,,1.5,2.0,,,,1.4,5.2
wwillibe01,1971,26,VIR,ABA,SG,78,,21.4,4.5,10.5,.428,0.2,0.8,.277,4.2,9.6,.441,1.4,1.8,.796,0.7,1.3,2.0,1.7,,,1.6,2.3,10.6
wwillibe01,1972,27,VIR,ABA,SG,71,,21.3,5.0,11.7,.428,0.1,0.8,.172,4.9,10.9,.448,2.3,2.7,.860,0.8,0.9,1.8,1.9,,,1.9,2.1,12.5
wwillibe01,1973,28,VIR,ABA,SG,6,,8.5,1.0,3.2,.316,0.2,0.3,.500,0.8,2.8,.294,0.3,0.3,1.000,0.0,0.7,0.7,1.2,0.2,0.0,0.8,0.5,2.5
wwillibo01,1955,24,MNL,NBA,,20,,8.7,1.1,2.3,.457,,,,1.1,2.3,.457,1.2,2.3,.533,,,2.7,0.4,,,,1.8,3.3
wwillibo01,1956,25,MNL,NBA,,4,,5.0,0.3,1.0,.250,,,,0.3,1.0,.250,0.5,0.8,.667,,,1.3,0.0,,,,0.5,1.0
wwillibr01,1997,22,GSW,NBA,SG,9,2,15.6,1.8,5.6,.320,0.3,1.0,.333,1.4,4.6,.317,0.2,0.4,.500,0.4,1.2,1.7,0.3,0.7,0.3,1.0,2.0,4.1
wwillibr01,1998,23,SAS,NBA,SG,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.7,1.3,.500,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7
wwillibr01,2002,27,ATL,NBA,SF,6,0,3.2,0.2,1.2,.143,0.0,0.2,.000,0.2,1.0,.167,0.0,0.0,,0.3,0.0,0.3,0.0,0.3,0.0,0.5,0.7,0.3
wwillibu01,1981,21,NJN,NBA,PF,82,82,34.5,6.3,10.7,.582,0.0,0.0,.000,6.3,10.7,.583,3.0,4.7,.624,4.2,8.0,12.3,1.3,1.0,1.0,2.9,3.5,15.5
wwillibu01,1982,22,NJN,NBA,PF,82,82,36.1,6.5,11.1,.588,0.0,0.0,.000,6.5,11.1,.590,4.0,6.4,.620,4.5,8.1,12.5,1.5,1.1,1.3,3.0,3.3,17.0
wwillibu01,1983,23,NJN,NBA,PF,81,81,37.1,6.1,11.4,.535,0.0,0.0,.000,6.1,11.4,.537,3.5,6.1,.570,4.4,8.0,12.3,1.6,1.0,1.5,2.9,3.7,15.7
wwillibu01,1984,24,NJN,NBA,PF,82,82,38.8,7.0,13.3,.530,0.0,0.0,.250,7.0,13.2,.531,4.1,6.6,.625,3.9,8.3,12.3,2.0,0.8,1.3,2.9,3.6,18.2
wwillibu01,1985,25,NJN,NBA,PF,82,82,37.4,6.1,11.7,.523,0.0,0.0,.000,6.1,11.6,.524,3.7,5.4,.676,4.0,8.0,12.0,1.6,0.9,1.2,3.0,3.6,15.9
wwillibu01,1986,26,NJN,NBA,PF,82,82,36.3,6.4,11.4,.557,0.0,0.0,.000,6.4,11.4,.557,5.2,7.2,.731,3.9,8.5,12.5,1.6,1.0,1.1,3.4,3.8,18.0
wwillibu01,1987,27,NJN,NBA,PF,70,70,37.7,6.7,11.9,.560,0.0,0.0,1.000,6.6,11.9,.560,4.9,7.4,.668,4.3,7.7,11.9,1.6,1.0,0.6,2.7,3.8,18.3
wwillibu01,1988,28,NJN,NBA,PF,74,72,33.1,5.0,9.5,.531,0.0,0.0,.000,5.0,9.4,.534,2.9,4.3,.666,3.4,6.0,9.4,1.1,0.8,0.5,1.9,3.0,13.0
wwillibu01,1989,29,POR,NBA,PF,82,82,34.2,5.0,9.2,.548,0.0,0.0,.000,5.0,9.2,.548,3.5,5.0,.706,3.0,6.7,9.8,1.4,0.8,0.5,2.0,3.5,13.6
wwillibu01,1990,30,POR,NBA,PF,80,80,32.3,4.5,7.4,.602,0.0,0.0,,4.5,7.4,.602,2.7,3.9,.705,2.8,6.6,9.4,1.2,0.6,0.6,1.7,3.1,11.7
wwillibu01,1991,31,POR,NBA,PF,80,80,31.5,4.3,7.0,.604,0.0,0.0,.000,4.3,7.0,.605,2.8,3.7,.754,3.3,5.6,8.8,1.4,0.8,0.5,1.6,3.1,11.3
wwillibu01,1992,32,POR,NBA,PF,82,82,30.5,3.3,6.4,.511,0.0,0.0,.000,3.3,6.4,.512,1.7,2.6,.645,2.8,5.6,8.4,0.9,1.0,0.7,1.2,3.3,8.3
wwillibu01,1993,33,POR,NBA,PF,81,81,32.5,3.6,6.5,.555,0.0,0.0,.000,3.6,6.5,.556,2.5,3.7,.679,3.9,6.5,10.4,1.0,0.7,0.6,1.4,3.0,9.7
wwillibu01,1994,34,POR,NBA,PF,82,82,29.5,3.8,7.4,.512,0.0,0.0,.500,3.8,7.3,.512,1.7,2.5,.673,3.1,5.1,8.2,1.0,0.8,0.8,1.5,3.1,9.2
wwillibu01,1995,35,POR,NBA,PF,70,10,23.9,2.7,5.5,.500,0.0,0.0,.667,2.7,5.4,.499,1.8,2.7,.668,2.3,3.5,5.8,0.6,0.6,0.7,1.3,2.7,7.3
wwillibu01,1996,36,NYK,NBA,PF,74,4,20.2,2.4,4.4,.537,0.0,0.0,.000,2.4,4.4,.538,1.6,2.4,.642,2.2,3.1,5.4,0.7,0.5,0.5,1.1,2.8,6.3
