Team_id,Season,No,Player,Pos,Experience
CHI,2012,25,teaguma01,PG,0,
CHI,2012,3,thomama01,PF,1,
CHI,2011,3,asikom01,C,1,
CHI,2011,5,boozeca01,PF,9,
CHI,2011,11,brewero02,SG,5,
CHI,2011,21,butleji01,SG,0,
CHI,2011,9,denglu01,SF,7,
CHI,2011,22,gibsota01,PF,2,
CHI,2011,32,hamilri01,SG,12,
CHI,2011,8,jamesmi01,PG,9,
CHI,2011,26,korveky01,SG,8,
CHI,2011,15,lucasjo02,PG,3,
CHI,2011,13,noahjo01,C,4,
CHI,2011,1,rosede01,PG,3,
CHI,2011,24,scalabr01,PF,10,
CHI,2011,7,watsocj01,PG,4,
CHI,2010,3,asikom01,C,0,
CHI,2010,6,boganke01,SG,7,
CHI,2010,5,boozeca01,C,8,
CHI,2010,11,brewero02,SG,4,
CHI,2010,45,butlera01,SG,8,
CHI,2010,9,denglu01,SF,6,
CHI,2010,22,gibsota01,PF,1,
CHI,2010,16,johnsja01,SF,1,
CHI,2010,26,korveky01,SG,7,
CHI,2010,15,lucasjo02,PG,2,
CHI,2010,13,noahjo01,C,3,
CHI,2010,1,rosede01,PG,2,
CHI,2010,24,scalabr01,PF,9,
CHI,2010,40,thomaku01,PF,15,
CHI,2010,32,watsocj01,PG,3,
CHI,2009,20,alexajo01,SF,1,
CHI,2009,32,brownde02,SG,7,
CHI,2009,9,denglu01,SF,5,
CHI,2009,22,gibsota01,PF,0,
CHI,2009,34,grayaa01,C,2,
CHI,2009,12,hinriki01,SG,6,
CHI,2009,11,hunteli01,PG,16,
CHI,2009,16,johnsja01,PF,0,
CHI,2009,0,lawac01,PG,2,
CHI,2009,52,millebr01,C,11,
CHI,2009,6,murraro01,SG,7,
CHI,2009,13,noahjo01,C,2,
CHI,2009,2,pargoja01,PG,6,
CHI,2009,35,richach01,PF,1,
CHI,2009,1,rosede01,PG,1,
CHI,2009,15,salmojo01,SG,7,
CHI,2009,24,thomaty01,PF,3,
CHI,2009,21,warriha01,PF,4,
CHI,2008,9,denglu01,SF,4,
CHI,2008,90,goodedr01,PF,6,
CHI,2008,7,gordobe01,SG,4,
CHI,2008,34,grayaa01,C,1,
CHI,2008,12,hinriki01,SG,5,
CHI,2008,32,hughela01,SF,10,
CHI,2008,11,hunteli01,PG,15,
CHI,2008,54,johnsli01,PF,5,
CHI,2008,52,millebr01,C,10,
CHI,2008,35,nichode01,SF,1,
CHI,2008,13,noahjo01,C,1,
CHI,2008,5,nocioan01,PF,4,
CHI,2008,5,roberan02,PG,2,
CHI,2008,1,rosede01,PG,0,
CHI,2008,15,salmojo01,SF,6,
CHI,2008,2,sefolth01,SF,2,
CHI,2008,15,simmoce01,PF,2,
CHI,2008,2,thomati01,PF,11,
CHI,2008,24,thomaty01,PF,2,
CHI,2007,6,brownsh01,SG,1,
CHI,2007,9,denglu01,SF,3,
CHI,2007,21,duhonch01,PG,3,
CHI,2007,31,gardnth01,SG,0,
CHI,2007,90,goodedr01,PF,5,
CHI,2007,7,gordobe01,SG,3,
CHI,2007,34,grayaa01,C,0,
CHI,2007,44,griffad01,SG,8,
CHI,2007,12,hinriki01,PG,4,
CHI,2007,32,hughela01,SG,9,
CHI,2007,38,khryavi01,PF,3,
CHI,2007,35,nichode01,SF,0,
CHI,2007,13,noahjo01,C,0,
CHI,2007,5,nocioan01,SF,3,
CHI,2007,2,sefolth01,SG,1,
CHI,2007,15,simmoce01,PF,1,
CHI,2007,32,smithjo02,PF,12,
CHI,2007,24,thomaty01,PF,1,
CHI,2007,3,wallabe01,C,11,
CHI,2006,35,allenma01,PF,5,
CHI,2006,11,barrean01,PG,2,
CHI,2006,42,brownpj01,PF,13,
CHI,2006,9,denglu01,SF,2,
CHI,2006,21,duhonch01,PG,2,
CHI,2006,7,gordobe01,SG,2,
CHI,2006,44,griffad01,SF,7,
CHI,2006,12,hinriki01,PG,3,
CHI,2006,38,khryavi01,PF,2,
CHI,2006,5,nocioan01,PF,2,
CHI,2006,2,sefolth01,SG,0,
CHI,2006,50,sweetmi01,C,3,
CHI,2006,24,thomaty01,PF,0,
CHI,2006,3,wallabe01,C,10,
CHI,2005,35,allenma01,PF,4,
CHI,2005,13,basdeed01,SF,0,
CHI,2005,3,chandty01,C,4,
CHI,2005,9,denglu01,SF,1,
CHI,2005,21,duhonch01,PG,1,
CHI,2005,7,gordobe01,SG,1,
CHI,2005,1,grahast01,SG,0,
CHI,2005,24,harriot01,C,9,
CHI,2005,12,hinriki01,PG,2,
CHI,2005,6,holcora01,SF,0,
CHI,2005,1,livinra01,PG,9,
CHI,2005,5,nocioan01,PF,1,
CHI,2005,15,pargoja01,PG,3,
CHI,2005,52,piatker01,SG,11,
CHI,2005,45,schenlu01,C,0,
CHI,2005,25,songada01,PF,2,
CHI,2005,50,sweetmi01,C,2,
