PlayerID,Season,Team,Lg,Salary
aaddisra01,1991,New Jersey Nets,NBA,311000
aaddisra01,1992,New Jersey Nets,NBA,522000
aaddisra01,1994,Detroit Pistons,NBA,250000
aaddisra01,1995,Charlotte Hornets,NBA,360000
aaddisra01,1996,Charlotte Hornets,NBA,290000
aadrieje01,2010,Golden State Warriors,NBA,342666
aadrieje01,2011,Houston Rockets,NBA,270427
aadrieje01,2012,Charlotte Bobcats,NBA,804131
aadrieje01,2013,Charlotte Bobcats,NBA,916099
aafflaar01,2007,Detroit Pistons,NBA,944520
aafflaar01,2008,Detroit Pistons,NBA,1015440
aafflaar01,2009,Denver Nuggets,NBA,1086240
aafflaar01,2010,Denver Nuggets,NBA,1959577
aafflaar01,2011,Denver Nuggets,NBA,7562500
aafflaar01,2012,Orlando Magic,NBA,7750000
aafflaar01,2013,Orlando Magic,NBA,7312500
aafflaar01,2014,Denver Nuggets,NBA,7750000
aagerma01,2006,Dallas Mavericks,NBA,906480
aagerma01,2007,New Jersey Nets,NBA,974400
aagerma01,2008,New Jersey Nets,NBA,1042440
aagerma01,2010,Minnesota Timberwolves,NBA,83305
aaguirma01,1985,Dallas Mavericks,NBA,626240
aaguirma01,1987,Dallas Mavericks,NBA,715700
aaguirma01,1988,Dallas Mavericks,NBA,715700
aaguirma01,1990,Detroit Pistons,NBA,1115000
aaguirma01,1991,Detroit Pistons,NBA,1232000
aaguirma01,1992,Detroit Pistons,NBA,1351000
aaguirma01,1993,Detroit Pistons,NBA,1471000
aaguirma01,1993,Los Angeles Clippers,NBA,150000
aahearbl01,2008,San Antonio Spurs,NBA,125562
aaingeda01,1985,Boston Celtics,NBA,550000
aaingeda01,1987,Boston Celtics,NBA,625000
aaingeda01,1988,Boston Celtics,NBA,675000
aaingeda01,1990,Portland Trail Blazers,NBA,725000
aaingeda01,1991,Portland Trail Blazers,NBA,725000
aaingeda01,1992,Phoenix Suns,NBA,1330000
aaingeda01,1993,Phoenix Suns,NBA,1690000
aaingeda01,1994,Phoenix Suns,NBA,2080000
aajincal01,2008,Charlotte Bobcats,NBA,1276320
aajincal01,2009,Charlotte Bobcats,NBA,1372080
aajincal01,2010,Toronto Raptors,NBA,1467840
aajincal01,2014,New Orleans Pelicans,NBA,981084
aakognjo01,2013,Memphis Grizzlies,NBA,788872
aalabiso01,2010,Toronto Raptors,NBA,770000
aalabiso01,2011,Toronto Raptors,NBA,830000
aalarima01,1987,Washington Bullets,NBA,232500
aalarima01,1988,Washington Bullets,NBA,250000
aalarima01,1990,Washington Bullets,NBA,500000
aalarima01,1991,Washington Bullets,NBA,550000
aaldemfu01,2014,Philadelphia 76ers,NBA,3000000
aaldrico01,2010,Oklahoma City Thunder,NBA,2126520
aaldrico01,2011,Oklahoma City Thunder,NBA,2286000
aaldrico01,2012,Sacramento Kings,NBA,2445480
aaldrico01,2014,New York Knicks,NBA,981084
aaldrila01,2006,Portland Trail Blazers,NBA,4027320
aaldrila01,2007,Portland Trail Blazers,NBA,4329360
aaldrila01,2008,Portland Trail Blazers,NBA,4631400
aaldrila01,2009,Portland Trail Blazers,NBA,5844827
aaldrila01,2010,Portland Trail Blazers,NBA,11244000
aaldrila01,2011,Portland Trail Blazers,NBA,12372000
aaldrila01,2012,Portland Trail Blazers,NBA,13500000
aaldrila01,2013,Portland Trail Blazers,NBA,14128000
aaldrila01,2014,Portland Trail Blazers,NBA,16006000
aalexaco01,1995,San Antonio Spurs,NBA,490000
aalexaco01,1996,San Antonio Spurs,NBA,521000
aalexaco01,1997,San Antonio Spurs,NBA,562380
aalexaco01,1999,Denver Nuggets,NBA,1980000
aalexaco01,2000,Denver Nuggets,NBA,2160000
